课程代码,课程名称,达成度
77101203,武术3,0.86
66130008,化学与健康,0.95
66130013,电影中的科学,0.9017
66130092,生活中的基因科学,0.905
08192730,电子线路CAD,0.86
66130070,机器学习,0.938
66130074,工程伦理,0.89
66110044,管理人生,0.8933
08188001,高等数学Ⅰ,0.83
77101920,康复保健2,0.89
66130071,科技论文写作,0.8
66130076,中学教育科研方法与实务,0.91
66190103,钳工工艺实践劳动,0.91
07190130,高等数学Ⅱ,0.7786
11190022,大学物理A(Ⅱ),0.8115
66110089,改革开放史,0.915
30190002,大学英语Ⅱ（普通生）,0.7699
11118343,劳动与社会实践Ⅲ,0.9118
11117900,教育与科学哲学,0.7624
77100910,毽绳1,0.81
11113020,科技活动与科技制作,0.8983
25100060,教师语言,0.8944
11190400,科技教育资源开发与应用,0.8958
25100030,教师职业道德,0.9334
13110132,劳动教育,0.8952
11116070,教育机器人,0.8566
11111810,科学教育与创新教育概论,0.8072
13110021,马克思主义基本原理,0.7346
66110011,社交礼仪,0.8825
25100040,教育政策法规,0.8582
66170038,飞镖,0.86
77102210,瑜伽1,0.86
66190102,机械设备维护与保养实践劳动,0.825
77100210,足球1,0.89
66170039,儿童学业行为改变技术,0.83
3019027A,旅游英语,0.78
66150012,简笔画,0.94
66130096,生命起源与进化,0.9
77103612,啦啦操3,0.8467
66190012,数学建模与思维,0.9667
66110076,生活中的税收,0.81
13110080,思想道德修养与法律基础,0.9
77102220,瑜伽2,0.8738
66130084,化学史话,0.96
17100430,心理咨询与身心健康,0.9775
77102020,游泳2,0.802
66170032,教师资格面试方法与技巧,0.8833
66150037,线条类画入门与表现,0.93
77103035,田径运动训练1,0.8
66110077,管理心理,0.9133
66130028,数学的奥秘：本质与思维,0.81
77101103,跳绳3,0.72
66110073,漫游英伦,0.9475
77100220,足球2,0.885
66110097,情绪管理与压力调适,0.8
77102904,体育理论4,0.61
17101890,世界著名博物馆艺术经典,0.84
77102703,全健排舞3,0.72
77103120,飞镖2,0.93
77101210,武术1,0.82
11113080,创新创造能力训练Ⅰ ,0.8676
17100480,《史记》导读,0.8929
11118390,毕业论文（设计）,0.8446
11196010,数字电路理论与实践,0.766
11117500,小学教育科研方法与实务,0.9051
77100503,排球3,0.795
30190001,大学英语Ⅰ（普通生）,0.7872
13110127,形势与政策Ⅴ,0.897
11117000,小学德育与班级管理,0.8831
13110131,马克思主义中国化进程与青年学生使命担当,0.931
17110045,创新创业实践,0.8686
66130077,旅游与地质,0.91
11116020,科普基地科普能力训练,0.8462
88190002,计算机基础应用II,0.8145
66130059,诺奖·社会·物理,0.8473
13110111,中国近现代史纲要,0.8023
66170041,轮滑基础,0.8267
66110055,师范生教育实习的理论与实践,0.871
66150043,世界民族音乐鉴赏,0.9367
66170031,物理学原理在乒乓球技术中的应用,0.8917
3019030A,英美概况,0.7943
77100610,气排球1,0.8489
08182830,数字电子技术,0.79
77103703,定向运动3,0.9
66190037,大学生科技创新能力拓展--以“挑战杯”为例,0.9357
66110081,消费者心理与行为,0.838
17101230,旅游英语—中外名胜博览与欣赏（一带一路篇）,0.905
30191101,公共日语Ⅰ,0.92
66170047,WPS文字高级应用,0.925
77101510,太极拳1,0.835
66170033,统计分析与SPSS的应用,0.89
66150009,中国百年经典交响音乐鉴赏,0.905
77100703,乒乓球3,0.847
77102320,健美操2,0.855
66110070,英汉翻译入门,0.795
66130085,精细化学品,0.838
77100520,排球2,0.852
66110092,国际商务礼仪,0.8888
66110035,社会调查与研究方法,0.75
66190038,概率统计的前世今生,0.84
77100103,篮球3,0.868
09199252,日常烹饪与营养,0.895
66170012,Python办公自动化,0.94
30191103,公共日语Ⅲ,0.82
66170010,教学竞赛设计与课件制作技巧,0.9225
66190005,MATLAB仿真创新训练,0.9
66152354,中国民歌鉴赏,0.68
66110074,政治通识与艺术生活,0.86
66110078,创意旅游,0.91
77101003,毽球3,0.81
66170046,WPS表格高级应用,0.79
66170042,常见心理障碍解析,0.91
77101603,传统养生3,0.84
11117600,小学科学教育测量与评价,0.8537
11111980,探究科技,0.8617
66150011,手绘艺术,0.933
09190010,普通生物学及实验,0.7986
13110123,形势与政策Ⅰ,0.8389
77100710,乒乓球1,0.8377
11117800,科学普及活动设计与指导,0.8728
30190004,大学英语Ⅳ（普通生）,0.7405
66170035,3D打印技术基础,0.84
17100490,《水浒传》导读,0.8925
3019021A,初级美国文学,0.8283
08181062,高级语言程序设计,0.81
11112010,热学,0.8
66130065,多彩的鱼类世界,0.8783
17100530,绘画基础,0.92
66110015,管理引论与实践,0.8833
77102420,体育舞蹈2,0.9033
66110046,大学生生命教育,0.92
77100507,排球运动训练3,0.89
66110017,影视评论,0.88
66130010,现代生物技术与人类生活,0.92
08182701,劳动与社会实践Ⅰ,0.99
77100506,排球运动训练2,0.91
66110071,文学翻译入门,0.79
17101210,社会调查方法与实践,0.8967
66110060,中日文化比较,0.97
77100806,羽毛球运动训练2,0.85
66150016,人人爱设计,0.99
3019029A,英语电影赏析,0.81
77100508,排球运动训练4,0.96
66130054,微生态,0.94
08182311,电子工艺实习,0.94
66110064,中西饮食文化鉴赏,0.88
11190021,大学物理A(Ⅰ),0.7055
11118371,教育见习Ⅰ,0.853
55110052,军事技能,0.8331
99110035,大学生心理健康教育Ⅱ,0.9087
66170005,摄影基础,0.9173
11190500,小学综合实践活动设计与指导,0.8863
66130068,大学生健康适能,0.865
13110035,习近平新时代中国特色社会主义思想概论,0.8697
11117301,小学科学学科教学设计,0.8238
25100011,教育学基础,0.7628
88190003,计算机科学前沿,0.9707
13110130,形势与政策Ⅷ,0.8608
13110128,形势与政策Ⅵ,0.9245
07190120,高等数学Ⅰ,0.7541
77100720,乒乓球2,0.8577
11116030,CAD制图理论与实践,0.8206
66130087,超分子化学漫谈,0.9
77100620,气排球2,0.7911
66110053,韩国社会与文化,0.879
00100010,教育实习,0.9031
66150042,中外歌剧音乐鉴赏,0.8629
66110049,营养与健康,0.8711
66110002,基础日语（一）,0.7675
66110079,生活中的财务,0.868
77100510,排球1,0.838
66170028,智慧教育与智慧学习,0.9
66110054,当代中国社会问题,0.82
66130058,诺奖·社会·化学,0.925
66150010,人人都是艺术家——绘画造型基础,0.9455
66172351,公共关系礼仪实务,0.8833
77101703,健身基础3,0.79
08182710,专业导论,0.85
08182702,劳动与社会实践Ⅱ,0.98
66110050,数学之美,0.9033
11113081,创新创造能力训练I,0.87
66110052,微生物与人类,0.8933
66170009,普通话技能训练,0.89
66110087,社会主义发展史,0.84
3019006A,商务英语视听说,0.8067
66190028,电子商务创新创业,0.95
11114080,创新创造能力训练Ⅱ,0.8652
01110002,儿童发展心理学,0.8431
55110051,军事理论,0.9141
11118346,劳动与社会实践Ⅵ,0.8527
66150026,笔尖上的艺术——书法基础与赏析,0.841
11117400,小学科学教学技能训练（含微格训练）,0.8817
13110030,毛泽东思想和中国特色社会主义理论体系概论,0.8615
11190700,科普剧表演活动设计与指导,0.8715
17100420,家庭教育心理学,0.98
11111990,探究科学,0.8242
66170017,商务形象设计,0.858
11116010,科技场馆科普能力训练,0.8496
3019025A,英语畅谈中国文化,0.7744
11117201,小学科学课程标准与教材研究,0.8034
66130069,探索蓝色海洋,0.8786
11116080,研学旅游方法与实践,0.8511
66110056,教育前沿问题研究,0.8717
77102010,游泳1,0.806
66110057,大学生婚恋法律指南,0.862
77102303,健美操3,0.8643
77101403,跆拳道3,0.8675
3019024A,通用学术英语,0.847
77100105,篮球运动训练1,0.83
77102410,体育舞蹈3,0.8433
77100203,足球3,0.8383
77102003,游泳3,0.865
66130052,化学与生活,0.8433
66170043,美化语音及拓展训练,0.87
77101910,康复保健1,0.855
66150032,西方音乐剧鉴赏,0.9
66190003,创新设计思维与实践,0.875
66130063,学习科学与技术,0.85
66152351, 微观美·好设计,0.88
30191104,公共日语Ⅳ,0.805
66170045,WPS演示高级应用,0.955
77100805,羽毛球运动训练1,0.83
66130055,动物行为社会学,0.93
66130046,防身术,0.79
66130051,健康管理学,0.95
08188013,高等数学Ⅱ,0.63
11111003,力学,0.79
66110068,中国影视民俗学,0.795
3019005A,旅游英语:中外名胜博览与欣赏,0.85
